Organism/Name	BioProject Accession	Size (Mb)	GC%	Replicons	Scaffolds	Genes	Proteins	Status	Assembly Accession	FTP_path	PubMedID
Dermatophilus congolensis	PRJEB6403	2.62782	59.4	chromosome 1:NZ_LT906453.1/LT906453.1	1	2336	2211	Complete Genome	GCA_900187045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/045/GCA_900187045.1_51485_B01	-
Tsukamurella paurometabola DSM 20162	PRJNA29399	4.47972	68.3866	chromosome:NC_014158.1/CP001966.1; plasmid pTpau01:NC_014159.1/CP001967.1	2	4365	4214	Complete Genome	GCA_000092225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/225/GCA_000092225.1_ASM9222v1	21886861
Arachnia propionica	PRJEB6403	3.40235	66.1	chromosome 1:NZ_LR134406.1/LR134406.1	1	3055	2941	Complete Genome	GCA_900637725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/725/GCA_900637725.1_52551_C01	-
Renibacterium salmoninarum ATCC 33209	PRJNA19227	3.15525	56.3	chromosome:NC_010168.1/CP000910.1	1	3223	2744	Complete Genome	GCA_000018885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/885/GCA_000018885.1_ASM1888v1	-
Olsenella uli DSM 7084	PRJNA36641	2.0519	64.7	chromosome:NC_014363.1/CP002106.1	1	1807	1742	Complete Genome	GCA_000143845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/845/GCA_000143845.1_ASM14384v1	21304694
Kibdelosporangium phytohabitans	PRJNA289020	11.7598	68.4	chromosome:NZ_CP012752.1/CP012752.1	1	10887	10584	Complete Genome	GCA_001302585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/302/585/GCF_001302585.1_ASM130258v1	-
Streptomyces solisilvae	PRJNA679126	11.6395	71	chromosome:NZ_CP065050.1/CP065050.1	1	9463	8940	Complete Genome	GCA_015689475.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/689/475/GCA_015689475.1_ASM1568947v1	-
Dactylosporangium aurantiacum	PRJNA725365	11.5239	73.2	chromosome:NZ_CP073767.1/CP073767.1	1	10348	10014	Complete Genome	GCA_025264705.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/264/705/GCF_025264705.1_ASM2526470v1	-
Streptomyces griseochromogenes	PRJNA307132	10.7647	70.8	chromosome:NZ_CP016279.1/CP016279.1	1	9803	9241	Complete Genome	GCA_001542625.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/625/GCF_001542625.1_ASM154262v2	-
Streptomyces nigrescens	PRJNA906346	9.53457	70.7976	chromosome:CP114203.1; plasmid phiDSM40276:CP114204.1	2	8255	7919	Complete Genome	GCA_027626975.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/626/975/GCF_027626975.1_ASM2762697v1	-
Streptomyces nojiriensis	PRJNA704480	9.02292	72	chromosome:NZ_CP071139.1/CP071139.1	1	8241	7906	Complete Genome	GCA_017639205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/205/GCA_017639205.1_ASM1763920v1	-
Amycolatopsis japonica	PRJNA251529	9.05386	68.8928	chromosome:NZ_CP008953.1/CP008953.1; plasmid pAmyja1:NZ_CP008954.1/CP008954.1	2	8578	8435	Complete Genome	GCA_000732925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/925/GCA_000732925.1_ASM73292v1	25193710
Streptomyces violaceoruber	PRJNA1029468	8.6297	72.2	chromosome:NZ_CP137734.1/CP137734.1	1	7782	7527	Complete Genome	GCA_033406955.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/406/955/GCA_033406955.1_ASM3340695v1	-
Streptomyces leeuwenhoekii	PRJEB8583	8.12249	72.7113	chromosome 1:NZ_LN831790.1/LN831790.1; plasmid pSLE1:NZ_LN831788.1/LN831788.1; plasmid pSLE2:NZ_LN831789.1/LN831789.1	3	7083	6746	Complete Genome	GCA_001013905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/905/GCF_001013905.1_sleC34	-
Streptomyces argyrophyllae	PRJNA629882	7.81546	72.5	chromosome:NZ_CP053189.1/CP053189.1	1	6988	6714	Complete Genome	GCA_013046785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/046/785/GCA_013046785.1_ASM1304678v1	-
Mycobacterium dioxanotrophicus	PRJNA357161	8.08042	66.4321	chromosome:NZ_CP020809.1/CP020809.1; plasmid unnamed1:NZ_CP020810.1/CP020810.1; plasmid unnamed2:NZ_CP020811.1/CP020811.1; plasmid unnamed3:NZ_CP020812.1/CP020812.1; plasmid unnamed4:NZ_CP020813.1/CP020813.1	5	7862	7499	Complete Genome	GCA_002157835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/835/GCF_002157835.1_ASM215783v1	-
Streptomyces cinereoruber	PRJNA412292	7.51665	72.9	chromosome:NZ_CP023693.1/CP023693.1	1	6774	6507	Complete Genome	GCA_009299385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/299/385/GCF_009299385.1_ASM929938v1	-
Streptomyces tirandamycinicus	PRJNA454035	7.28949	72.5	chromosome:NZ_CP029188.1/CP029188.1	1	6244	5965	Complete Genome	GCA_003097515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/097/515/GCF_003097515.1_ASM309751v1	-
Streptomyces goshikiensis	PRJNA919099	8.16159	72.3174	chromosome:NZ_CP115936.1/CP115936.1; plasmid punmamed1:NZ_CP115937.1/CP115937.1; plasmid punmamed2:NZ_CP115938.1/CP115938.1; plasmid punmamed3:NZ_CP115939.1/CP115939.1; plasmid punmamed4:NZ_CP115940.1/CP115940.1	5	7269	6992	Complete Genome	GCA_027942015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/942/015/GCF_027942015.1_ASM2794201v1	-
Streptomyces spongiicola	PRJNA453635	7.18042	72.4	chromosome:NZ_CP029254.1/CP029254.1	1	6014	5700	Complete Genome	GCA_003122365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/122/365/GCF_003122365.1_ASM312236v1	-
Prauserella marina	PRJNA326530	6.98641	67.6077	chromosome:NZ_CP016353.1/CP016353.1; plasmid pPmarDSM45268:NZ_CP016354.1/CP016354.1	2	6572	6454	Complete Genome	GCA_002240355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/355/GCF_002240355.1_ASM224035v1	-
Mycolicibacterium goodii	PRJNA747101	6.74131	67.1	chromosome:NZ_CP092364.2/CP092364.2	1	6433	6288	Complete Genome	GCA_022370755.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/370/755/GCA_022370755.2_ASM2237075v2	-
Actinoalloteichus hoggarensis	PRJNA394565	6.60672	71.1	chromosome:NZ_CP022521.1/CP022521.1	1	5431	5284	Complete Genome	GCA_002234535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/535/GCF_002234535.1_ASM223453v1	-
Actinoalloteichus hymeniacidonis	PRJNA273752	6.30639	68.1	chromosome:NZ_CP014859.1/CP014859.1	1	5424	5304	Complete Genome	GCA_001747425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/747/425/GCF_001747425.1_ASM174742v1	28031775
Mycolicibacterium moriokaense	PRJDB7717	6.22578	66	chromosome:NZ_AP022560.1/AP022560.1	1	6093	5908	Complete Genome	GCA_010726085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/726/085/GCA_010726085.1_ASM1072608v1	31287781
Mycolicibacterium aurum	PRJEB6403	6.03558	67.5	chromosome 1:NZ_LR134356.1/LR134356.1	1	5735	5624	Complete Genome	GCA_900637195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/195/GCA_900637195.1_50279_F01	-
Mycobacterium saskatchewanense	PRJDB7717	6.00892	68.3	chromosome:NZ_AP022573.1/AP022573.1	1	5710	5406	Complete Genome	GCA_010729105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/729/105/GCA_010729105.1_ASM1072910v1	31287781
Mycolicibacterium gadium	PRJDB7717	5.965	65.7	chromosome:NZ_AP022608.1/AP022608.1	1	5907	5708	Complete Genome	GCA_010728925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/728/925/GCA_010728925.1_ASM1072892v1	31287781
Mycolicibacterium grossiae	PRJNA562964	5.6816	70.4669	chromosome:NZ_CP043474.1/CP043474.1; plasmid pGP01:NZ_CP043475.1/CP043475.1	2	5464	5323	Complete Genome	GCA_008329645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/645/GCF_008329645.1_ASM832964v1	-
Gordonia mangrovi	PRJNA869870	5.38822	67	chromosome:NZ_CP102850.1/CP102850.1	1	4892	4768	Complete Genome	GCA_024734075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/734/075/GCF_024734075.1_ASM2473407v1	-
Mycobacterium malmoense	PRJNA747101	5.31986	67	chromosome:NZ_CP080999.1/CP080999.1	1	4952	4726	Complete Genome	GCA_019645855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/855/GCA_019645855.1_ASM1964585v1	36651784
Actinopolyspora erythraea	PRJNA389211	5.24393	68.8	chromosome:NZ_CP022752.1/CP022752.1	1	4676	4548	Complete Genome	GCA_002263515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/515/GCF_002263515.1_ASM226351v1	-
Thermobifida alba	PRJNA554762	4.90326	72.1	chromosome:NZ_CP051627.1/CP051627.1	1	4366	4223	Complete Genome	GCA_023208015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/208/015/GCA_023208015.1_ASM2320801v1	-
Iamia majanohamensis	PRJNA929121	4.57692	74.9	chromosome:NZ_CP116942.1/CP116942.1	1	4341	4275	Complete Genome	GCA_028532485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/532/485/GCF_028532485.1_ASM2853248v1	-
Cnuibacter physcomitrellae	PRJNA379856	4.35165	70.8046	chromosome:NZ_CP020715.1/CP020715.1; plasmid unnamed1:NZ_CP020716.1/CP020716.1; plasmid unnamed2:NZ_CP020717.1/CP020717.1	3	4164	4066	Complete Genome	GCA_002096055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/055/GCF_002096055.1_ASM209605v1	-
Brachybacterium ginsengisoli	PRJNA392615	3.95325	71.6	chromosome:NZ_CP023564.1/CP023564.1	1	3531	3448	Complete Genome	GCA_002407065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/407/065/GCF_002407065.1_ASM240706v1	24944333
Microbacterium protaetiae	PRJNA516959	3.79048	68	chromosome:NZ_CP035494.1/CP035494.1	1	3555	3457	Complete Genome	GCA_004135285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/285/GCF_004135285.1_ASM413528v1	-
Brachybacterium saurashtrense	PRJNA483375	3.72065	72.8	chromosome:NZ_CP031356.1/CP031356.1	1	3351	3237	Complete Genome	GCA_003355475.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/475/GCF_003355475.1_ASM335547v1	-
Agromyces protaetiae	PRJNA516954	3.68309	70.5	chromosome:NZ_CP035491.1/CP035491.1	1	3483	3259	Complete Genome	GCA_004135405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/405/GCF_004135405.1_ASM413540v1	-
Serinicoccus chungangensis	PRJNA545772	3.46344	73.1	chromosome:NZ_CP040887.1/CP040887.1	1	3205	3073	Complete Genome	GCA_006337125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/125/GCF_006337125.1_ASM633712v1	20639223
Microbacterium aurum	PRJNA353137	3.42489	69.9	chromosome:NZ_CP018762.1/CP018762.1	1	3343	3183	Complete Genome	GCA_001974985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/974/985/GCF_001974985.1_ASM197498v1	-
Microbacterium terricola	PRJNA884177	3.25161	70.4	chromosome:CP107222.1	1	3100	3028	Complete Genome	GCA_025758395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/758/395/GCF_025758395.1_ASM2575839v1	-
Tessaracoccus flavus	PRJNA362686	3.22289	67.9	chromosome:NZ_CP019605.1/CP019605.1	1	2985	2853	Complete Genome	GCA_001997295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/295/GCF_001997295.1_ASM199729v1	26869509
Rathayibacter rathayi	PRJNA429250	3.10389	69.4	chromosome:NZ_CP028129.1/CP028129.1	1	3018	2898	Complete Genome	GCA_004011095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/095/GCF_004011095.1_ASM401109v1	-
Bifidobacterium lemurum	PRJNA666152	2.9651	62.7	chromosome:NZ_CP062948.1/CP062948.1	1	2378	2281	Complete Genome	GCA_014898175.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/898/175/GCA_014898175.1_ASM1489817v1	-
Microbacterium endophyticum	PRJNA608230	2.91611	61.8	chromosome:NZ_CP049255.1/CP049255.1	1	2756	2685	Complete Genome	GCA_011047135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/047/135/GCA_011047135.1_ASM1104713v1	-
Corynebacterium flavescens	PRJNA242338	2.75865	59.9	chromosome:NZ_CP009246.1/CP009246.1	1	2535	2416	Complete Genome	GCA_001941465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/465/GCF_001941465.1_ASM194146v1	-
Corynebacterium jeddahense	PRJNA454389	2.5677	67	chromosome:CP063194.1	1	2427	2356	Complete Genome	GCA_028609865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/609/865/GCF_028609865.1_ASM2860986v1	-
Microbacterium amylolyticum	PRJNA608228	2.58834	64.563	chromosome:NZ_CP049253.1/CP049253.1; plasmid unnamed1:NZ_CP049254.1/CP049254.1	2	2504	2364	Complete Genome	GCA_011046975.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/046/975/GCA_011046975.1_ASM1104697v1	-
Corynebacterium rouxii	PRJEB22103	2.45102	53.2	chromosome 1:NZ_LR738855.1/LR738855.1	1	2362	2223	Complete Genome	GCA_902702935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/702/935/GCA_902702935.1_FRC0190	-
Denitrobacterium detoxificans	PRJNA283216	2.44625	59.5	chromosome:NZ_CP011402.1/CP011402.1	1	2005	1927	Complete Genome	GCA_001643775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/775/GCF_001643775.1_ASM164377v1	-
Corynebacterium heidelbergense	PRJNA516107	2.32998	65.0073	chromosome:CP063191.1; plasmid phiDSM104638:CP063192.1	2	2121	2056	Complete Genome	GCA_028609845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/609/845/GCF_028609845.1_ASM2860984v1	-
Arcanobacterium wilhelmae	PRJNA950366	2.01562	60.5	chromosome:NZ_CP121247.1/CP121247.1	1	1774	1700	Complete Genome	GCA_029632765.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/632/765/GCF_029632765.1_ASM2963276v1	-
Bifidobacterium coryneforme	PRJNA239194	1.75515	60.5	chromosome:NZ_CP007287.1/CP007287.1	1	1430	1352	Complete Genome	GCA_000737865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/865/GCA_000737865.1_ASM73786v1	25085493
Aurantimicrobium minutum	PRJDB4581	1.62239	52.8	chromosome sequence1:NZ_AP017457.1/AP017457.1	1	1619	1567	Complete Genome	GCA_002355535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/535/GCF_002355535.1_ASM235553v1	27365350
Candidatus Rhodoluna planktonica	PRJNA317698	1.42451	52	chromosome:NZ_CP015208.1/CP015208.1	1	1398	1344	Complete Genome	GCA_001854225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/225/GCF_001854225.1_ASM185422v1	27659506
Streptomyces chartreusis	PRJNA412292	9.9121	71	chromosome:NZ_CP023689.1/CP023689.1	1	8679	8472	Complete Genome	GCA_008704715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/715/GCF_008704715.1_ASM870471v1	-
Nonomuraea coxensis DSM 45129	PRJNA693185	9.07395	72.2	chromosome:NZ_CP068985.1/CP068985.1	1	8558	8316	Complete Genome	GCA_019397265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/397/265/GCA_019397265.1_ASM1939726v1	33913701
Frankia alni ACN14a	PRJNA17403	7.49793	72.8	chromosome:NC_008278.1/CT573213.2	1	6115	5925	Complete Genome	GCA_000058485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/058/485/GCA_000058485.1_ASM5848v1	17151343
Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	PRJNA65103	8.09255	72.9894	chromosome:NC_016111.1/FQ859185.1; plasmid pSCAT:NC_016113.1/FQ859184.1	2	7249	6931	Complete Genome	GCA_000237305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/305/GCA_000237305.1_ASM23730v1	21868806
Mycolicibacterium pallens	PRJNA747101	6.09355	66.3893	chromosome:NZ_CP080333.1/CP080333.1; plasmid unnamed1:NZ_CP080334.1/CP080334.1; plasmid unnamed2:NZ_CP080335.1/CP080335.1	3	5973	5766	Complete Genome	GCA_019456675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/456/675/GCA_019456675.1_ASM1945667v1	36651784
Mycolicibacterium rufum	PRJNA747101	6.10738	69.2752	chromosome:NZ_CP092427.2/CP092427.2; plasmid unnamed:NZ_CP092428.2/CP092428.2; plasmid unnamed2:NZ_CP103313.1/CP103313.1	3	5909	5747	Complete Genome	GCA_022374875.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/374/875/GCA_022374875.3_ASM2237487v3	-
Salinispora tropica CNB-440	PRJNA16342	5.18333	69.5	chromosome:NC_009380.1/CP000667.1	1	4740	4545	Complete Genome	GCA_000016425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1	19590008
Rhodococcus coprophilus	PRJEB6403	4.57983	66.8	chromosome 1:NZ_LS483468.1/LS483468.1	1	4228	4102	Complete Genome	GCA_900478115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/115/GCA_900478115.1_50618_D02	-
Skermania piniformis	PRJNA744068	4.23012	68.6	chromosome:NZ_CP079105.1/CP079105.1	1	3918	3798	Complete Genome	GCA_019285775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/285/775/GCA_019285775.1_ASM1928577v1	-
Mycolicibacterium brumae	PRJNA798885	3.98892	69.2	chromosome:NZ_CP104302.1/CP104302.1	1	3855	3701	Complete Genome	GCA_025215495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/215/495/GCF_025215495.1_ASM2521549v1	-
Cellulomonas gilvus ATCC 13127	PRJNA33853	3.52644	73.8	chromosome:NC_015671.1/CP002665.1	1	3248	3157	Complete Genome	GCA_000218545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/545/GCA_000218545.1_ASM21854v1	-
Corynebacterium halotolerans YIM 70093 = DSM 44683	PRJNA168616	3.22201	68.2608	chromosome:NC_020302.1/CP003697.1; plasmid pCha1:NC_020303.1/CP003698.1	2	2957	2850	Complete Genome	GCA_000341345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/345/GCA_000341345.1_ASM34134v1	23408721
Corynebacterium doosanense CAU 212 = DSM 45436	PRJNA219342	2.699	66.7345	chromosome:NZ_CP006764.1/CP006764.1; plasmid pCdoos1:NZ_CP006765.1/CP006765.1	2	2663	2532	Complete Genome	GCA_000767055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/055/GCA_000767055.1_ASM76705v1	-
Corynebacterium massiliense DSM 45435	PRJNA532615	2.23787	64.8	chromosome:CP063189.1	1	2054	1987	Complete Genome	GCA_028609805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/609/805/GCF_028609805.1_ASM2860980v1	-
Bifidobacterium actinocoloniiforme DSM 22766	PRJNA286033	1.83006	62.7	chromosome:NZ_CP011786.1/CP011786.1	1	1512	1430	Complete Genome	GCA_001263395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/395/GCF_001263395.1_ASM126339v1	26404606
Mycolicibacterium vanbaalenii PYR-1	PRJNA15761	6.49186	67.8	chromosome:NC_008726.1/CP000511.1	1	6214	6027	Complete Genome	GCA_000015305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/305/GCA_000015305.1_ASM1530v1	-
Conexibacter woesei DSM 14684	PRJNA20745	6.35937	72.7	chromosome:NC_013739.1/CP001854.1	1	6015	5921	Complete Genome	GCA_000025265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/265/GCA_000025265.1_ASM2526v1	21304704
Mycolicibacterium monacense	PRJDB7717	6.04247	68.4	chromosome:NZ_AP022617.1/AP022617.1	1	5846	5691	Complete Genome	GCA_010731575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/731/575/GCA_010731575.1_ASM1073157v1	31287781
Microlunatus phosphovorus NM-1	PRJNA66879	5.68312	67.3	chromosome:NC_015635.1/AP012204.1	1	5185	5047	Complete Genome	GCA_000270245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/245/GCA_000270245.1_ASM27024v1	-
Gordonia bronchialis DSM 43247	PRJNA29549	5.29001	67.0692	chromosome:NC_013441.1/CP001802.1; plasmid pGBRO01:NC_013442.1/CP001803.1	2	4972	4679	Complete Genome	GCA_000024785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/785/GCA_000024785.1_ASM2478v1	21304674
Xylanimonas cellulosilytica DSM 15894	PRJNA19715	3.83138	72.4653	chromosome:NC_013530.1/CP001821.1; plasmid pXCEL01:NC_013531.1/CP001822.1	2	3518	3410	Complete Genome	GCA_000024965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/965/GCA_000024965.1_ASM2496v1	21304672
Corynebacterium casei LMG S-19264	PRJNA186910	3.13221	55.6977	chromosome:NZ_CP004350.1/CP004350.1; plasmid pCASE1:NZ_CP004351.1/CP004351.1; plasmid pCASE2:NZ_CP004352.1/CP004352.1	3	2868	2731	Complete Genome	GCA_000550785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/550/785/GCA_000550785.1_ASM55078v1	25193709
Corynebacterium freiburgense	PRJNA454102	2.96229	49.9339	chromosome:CP047355.1; plasmid phiCFREI45254:CP047356.1	2	2757	2685	Complete Genome	GCA_030408815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/815/GCF_030408815.1_ASM3040881v1	-
Corynebacterium vitaeruminis DSM 20294	PRJNA172966	2.93178	65.5	chromosome:NZ_CP004353.1/CP004353.1	1	2663	2557	Complete Genome	GCA_000550805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/550/805/GCA_000550805.1_ASM55080v1	25193714
Corynebacterium resistens DSM 45100	PRJNA39683	2.60131	57.1	chromosome:NC_015673.1/CP002857.1	1	2267	2134	Complete Genome	GCA_000177535.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/535/GCA_000177535.2_ASM17753v2	22524407
Corynebacterium propinquum	PRJNA231221	2.48013	56.4	chromosome:NZ_CP068161.1/CP068161.1	1	2221	2109	Complete Genome	GCA_016728665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/728/665/GCA_016728665.1_ASM1672866v1	-
Mobiluncus curtisii ATCC 43063	PRJNA31519	2.14648	55.4	chromosome:NC_014246.1/CP001992.1	1	1878	1803	Complete Genome	GCA_000196535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/535/GCA_000196535.1_ASM19653v1	-
Corynebacterium argentoratense DSM 44202	PRJNA209048	2.0319	58.9	chromosome:NC_022198.1/CP006365.1	1	1922	1817	Complete Genome	GCA_000590555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/555/GCA_000590555.1_ASM59055v1	24092787
Scardovia inopinata JCM 12537	PRJDB65	1.79786	48.6	chromosome:NZ_AP012334.1/AP012334.1	1	1511	1433	Complete Genome	GCA_001042695.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/695/GCF_001042695.1_ASM104269v1	25977411
Bifidobacterium [indicum] DSM 20214 = LMG 11587	PRJNA206546	1.73454	60.5	chromosome:NZ_CP006018.1	1	1416	1338	Complete Genome	GCA_000706765.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/765/GCF_000706765.1_ASM70676v1/	
Lancefieldella parvula DSM 20469	PRJNA29401	1.54381	45.7	chromosome:NC_013203.1/CP001721.1	1	1409	1352	Complete Genome	GCA_000024225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/225/GCA_000024225.1_ASM2422v1	21304653
Streptomyces aquilus	PRJNA508841	10.394	70.8	chromosome:NZ_CP034463.1/CP034463.1	1	9479	9179	Complete Genome	GCA_003955715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/955/715/GCF_003955715.1_ASM395571v1	-
Pseudofrankia inefficax	PRJNA37913	8.81578	72.3	chromosome:NC_014666.1/CP002299.1	1	7245	7066	Complete Genome	GCA_000166135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/135/GCA_000166135.1_ASM16613v1	-
Streptomyces xanthii	PRJNA659883	8.35471	72.1459	chromosome:NZ_CP061281.1/CP061281.1; plasmid unnamed1:NZ_CP061282.1/CP061282.1; plasmid unnamed2:NZ_CP061283.1/CP061283.1	3	7607	7408	Complete Genome	GCA_014621695.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/621/695/GCA_014621695.1_ASM1462169v1	-
Streptomyces nigra	PRJNA451055	7.64103	71.9	chromosome:NZ_CP029043.1/CP029043.1	1	6984	6710	Complete Genome	GCA_003074055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/074/055/GCF_003074055.1_ASM307405v1	-
Streptomyces pluripotens	PRJNA261097	7.34607	69.9	chromosome:NZ_CP021080.1/CP021080.1	1	6449	6106	Complete Genome	GCA_000802245.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/245/GCA_000802245.2_ASM80224v2	-
Mycolicibacterium baixiangningiae	PRJNA682880	6.18109	67.7	chromosome:NZ_CP066218.1/CP066218.1	1	5901	5724	Complete Genome	GCA_016313185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/313/185/GCA_016313185.1_ASM1631318v1	-
Mycolicibacterium parafortuitum	PRJDB7717	6.0442	68.4	chromosome:NZ_AP022598.1/AP022598.1	1	5737	5595	Complete Genome	GCA_010725485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/725/485/GCA_010725485.1_ASM1072548v1	31287781
